State,District,Level,Name,TRU,TRU1,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
09,198,DISTRICT,Sant Ravidas Nagar (Bhadohi),Urban,49.26,32658,229302,120510,108792,34845,18163,16682,30321,15907,14414,115,66,49,142276,82830,59446,87026,37680,49346,66637,54547,12090,52459,45217,7242,1888,1524,364,1803,1334,469,9858,7784,2074,38910,34575,4335,14178,9330,4848,555,331,224,2279,1380,899,3482,2029,1453,7862,5590,2272,11835,8060,3775,476,298,178,1749,1063,686,2876,1808,1068,6734,4891,1843,2343,1270,1073,79,33,46,530,317,213,606,221,385,1128,699,429,162665,65963,96702
09,199,DISTRICT,Mirzapur,Total,4405.00,394925,2496970,1312302,1184668,410621,215841,194780,661129,347436,313693,20132,10480,9652,1428683,865837,562846,1068287,446465,621822,881996,613061,268935,537091,420679,116412,142314,118929,23385,151210,102735,48475,45028,32594,12434,198539,166421,32118,344905,192382,152523,35818,19800,16018,183162,94581,88581,35218,17554,17664,90707,60447,30260,275840,157658,118182,27094,15985,11109,147685,78617,69068,27563,13705,13858,73498,49351,24147,69065,34724,34341,8724,3815,4909,35477,15964,19513,7655,3849,3806,17209,11096,6113,1614974,699241,915733
09,199,DISTRICT,Mirzapur,Rural,4331.78,339323,2149403,1127138,1022265,363765,191060,172705,613590,321829,291761,19188,9973,9215,1201584,733853,467731,947819,393285,554534,769422,523902,245520,456348,352823,103525,139944,116893,23051,147121,99697,47424,31757,22337,9420,137526,113896,23630,313074,171079,141995,35262,19417,15845,179008,91851,87157,28939,13967,14972,69865,45844,24021,249371,140037,109334,26587,15637,10950,144484,76532,67952,22359,10727,11632,55941,37141,18800,63703,31042,32661,8675,3780,4895,34524,15319,19205,6580,3240,3340,13924,8703,5221,1379981,603236,776745
09,199,DISTRICT,Mirzapur,Urban,73.22,55602,347567,185164,162403,46856,24781,22075,47539,25607,21932,944,507,437,227099,131984,95115,120468,53180,67288,112574,89159,23415,80743,67856,12887,2370,2036,334,4089,3038,1051,13271,10257,3014,61013,52525,8488,31831,21303,10528,556,383,173,4154,2730,1424,6279,3587,2692,20842,14603,6239,26469,17621,8848,507,348,159,3201,2085,1116,5204,2978,2226,17557,12210,5347,5362,3682,1680,49,35,14,953,645,308,1075,609,466,3285,2393,892,234993,96005,138988
09,200,DISTRICT,Sonbhadra,Total,6905.00,333174,1862559,971344,891215,323092,167870,155222,421661,218996,202665,385018,197825,187193,985708,601988,383720,876851,369356,507495,730399,463611,266788,397196,293517,103679,101592,77751,23841,147315,91924,55391,14505,10142,4363,133784,113700,20084,333203,170094,163109,39415,20175,19240,223946,108312,115634,14912,6961,7951,54930,34646,20284,260713,135814,124899,30161,15664,14497,178710,88186,90524,10357,5052,5305,41485,26912,14573,72490,34280,38210,9254,4511,4743,45236,20126,25110,4555,1909,2646,13445,7734,5711,1132160,507733,624427
09,200,DISTRICT,Sonbhadra,Rural,6779.57,270822,1548217,803345,744872,284923,147436,137487,384816,199415,185401,374916,192524,182392,752876,468097,284779,795341,335248,460093,640617,386654,253963,321407,226013,95394,100411,76691,23720,144654,89804,54850,10038,6666,3372,66304,52852,13452,319210,160641,158569,39137,19961,19176,222336,107310,115026,13259,5944,7315,44478,27426,17052,249059,127821,121238,29917,15474,14443,177505,87360,90145,9111,4253,4858,32526,20734,11792,70151,32820,37331,9220,4487,4733,44831,19950,24881,4148,1691,2457,11952,6692,5260,907600,416691,490909
09,200,DISTRICT,Sonbhadra,Urban,125.43,62352,314342,167999,146343,38169,20434,17735,36845,19581,17264,10102,5301,4801,232832,133891,98941,81510,34108,47402,89782,76957,12825,75789,67504,8285,1181,1060,121,2661,2120,541,4467,3476,991,67480,60848,6632,13993,9453,4540,278,214,64,1610,1002,608,1653,1017,636,10452,7220,3232,11654,7993,3661,244,190,54,1205,826,379,1246,799,447,8959,6178,2781,2339,1460,879,34,24,10,405,176,229,407,218,189,1493,1042,451,224560,91042,133518
09,201,DISTRICT,Etah,Total,2431.00,290683,1774480,947339,827141,284227,151291,132936,281011,150631,130380,140,87,53,1055202,647042,408160,719278,300297,418981,545984,440244,105740,415476,362371,53105,213966,199161,14805,80122,71660,8462,18297,10724,7573,103091,80826,22265,130508,77873,52635,28430,14515,13915,51657,35727,15930,10099,4045,6054,40322,23586,16736,105136,64434,40702,21085,11297,9788,41649,29920,11729,7579,3017,4562,34823,20200,14623,25372,13439,11933,7345,3218,4127,10008,5807,4201,2520,1028,1492,5499,3386,2113,1228496,507095,721401
09,201,DISTRICT,Etah,Rural,2392.79,245688,1506338,805589,700749,246918,131416,115502,245671,131760,113911,34,20,14,877716,546586,331130,628622,259003,369619,470868,376518,94350,355311,309686,45625,210513,195892,14621,74682,66591,8091,13363,6762,6601,56753,40441,16312,115557,66832,48725,27844,14028,13816,49609,33918,15691,8289,3066,5223,29815,15820,13995,91701,54511,37190,20540,10841,9699,39756,28238,11518,6008,2153,3855,25397,13279,12118,23856,12321,11535,7304,3187,4117,9853,5680,4173,2281,913,1368,4418,2541,1877,1035470,429071,606399
09,201,DISTRICT,Etah,Urban,38.21,44995,268142,141750,126392,37309,19875,17434,35340,18871,16469,106,67,39,177486,100456,77030,90656,41294,49362,75116,63726,11390,60165,52685,7480,3453,3269,184,5440,5069,371,4934,3962,972,46338,40385,5953,14951,11041,3910,586,487,99,2048,1809,239,1810,979,831,10507,7766,2741,13435,9923,3512,545,456,89,1893,1682,211,1571,864,707,9426,6921,2505,1516,1118,398,41,31,10,155,127,28,239,115,124,1081,845,236,193026,78024,115002
09,202,DISTRICT,Kanshiram Nagar,Total,1955.00,237903,1436719,764165,672554,248759,131396,117363,254299,135812,118487,150,80,70,724850,452803,272047,711869,311362,400507,472765,375213,97552,354257,315043,39214,190566,179223,11343,63666,57322,6344,14849,6917,7932,85176,71581,13595,118508,60170,58338,38522,12834,25688,43428,28766,14662,7643,2306,5337,28915,16264,12651,91567,48894,42673,26479,8809,17670,35659,24787,10872,6031,1859,4172,23398,13439,9959,26941,11276,15665,12043,4025,8018,7769,3979,3790,1612,447,1165,5517,2825,2692,963954,388952,575002
09,202,DISTRICT,Kanshiram Nagar,Rural,1918.23,190739,1148512,612556,535956,205624,108392,97232,222875,119043,103832,120,66,54,565528,360562,204966,582984,251994,330990,389070,304542,84528,287146,256909,30237,184431,173291,11140,55870,50001,5869,7092,3358,3734,39753,30259,9494,101924,47633,54291,37948,12395,25553,39058,24903,14155,5329,1482,3847,19589,8853,10736,77725,38265,39460,26052,8446,17606,31888,21367,10521,4003,1129,2874,15782,7323,8459,24199,9368,14831,11896,3949,7947,7170,3536,3634,1326,353,973,3807,1530,2277,759442,308014,451428
09,202,DISTRICT,Kanshiram Nagar,Urban,36.77,47164,288207,151609,136598,43135,23004,20131,31424,16769,14655,30,14,16,159322,92241,67081,128885,59368,69517,83695,70671,13024,67111,58134,8977,6135,5932,203,7796,7321,475,7757,3559,4198,45423,41322,4101,16584,12537,4047,574,439,135,4370,3863,507,2314,824,1490,9326,7411,1915,13842,10629,3213,427,363,64,3771,3420,351,2028,730,1298,7616,6116,1500,2742,1908,834,147,76,71,599,443,156,286,94,192,1710,1295,415,204512,80938,123574
10,203,DISTRICT,Pashchim Champaran,Total,5228.00,710461,3935042,2061110,1873932,776031,397418,378613,553944,289191,264753,250046,127680,122366,1759481,1091226,668255,2175561,969884,1205677,1478947,999282,479665,797544,627289,170255,155114,133362,21752,464772,347032,117740,19043,13367,5676,158615,133528,25087,681403,371993,309410,62425,35799,26626,534061,284796,249265,19648,8414,11234,65269,42984,22285,565091,322794,242297,50750,30297,20453,446433,249452,196981,14274,6502,7772,53634,36543,17091,116312,49199,67113,11675,5502,6173,87628,35344,52284,5374,1912,3462,11635,6441,5194,2456095,1061828,1394267
10,203,DISTRICT,Pashchim Champaran,Rural,5133.60,637354,3541877,1853809,1688068,712017,364155,347862,524727,273843,250884,245578,125327,120251,1525404,956393,569011,2016473,897416,1119057,1367078,904942,462136,713435,553533,159902,148056,126743,21313,448353,333092,115261,15551,10540,5011,101475,83158,18317,653643,351409,302234,61207,34823,26384,521005,275659,245346,18297,7576,10721,53134,33351,19783,541273,304604,236669,49649,29409,20240,435244,241244,194000,13282,5846,7436,43098,28105,14993,112370,46805,65565,11558,5414,6144,85761,34415,51346,5015,1730,3285,10036,5246,4790,2174799,948867,1225932
10,203,DISTRICT,Pashchim Champaran,Urban,94.40,73107,393165,207301,185864,64014,33263,30751,29217,15348,13869,4468,2353,2115,234077,134833,99244,159088,72468,86620,111869,94340,17529,84109,73756,10353,7058,6619,439,16419,13940,2479,3492,2827,665,57140,50370,6770,27760,20584,7176,1218,976,242,13056,9137,3919,1351,838,513,12135,9633,2502,23818,18190,5628,1101,888,213,11189,8208,2981,992,656,336,10536,8438,2098,3942,2394,1548,117,88,29,1867,929,938,359,182,177,1599,1195,404,281296,112961,168335
10,204,DISTRICT,Purba Champaran,Total,3968.00,981516,5099371,2681209,2418162,1018297,526835,491462,649726,340363,309363,12461,6454,6007,2276957,1407603,869354,2822414,1273606,1548808,1737539,1260774,476765,1132789,923468,209321,275256,242564,32692,615189,484385,130804,26401,16006,10395,215943,180513,35430,604750,337306,267444,73776,42548,31228,442228,242257,199971,19763,8016,11747,68983,44485,24498,500460,289798,210662,60672,36397,24275,365990,208158,157832,13967,6228,7739,59831,39015,20816,104290,47508,56782,13104,6151,6953,76238,34099,42139,5796,1788,4008,9152,5470,3682,3361832,1420435,1941397
10,204,DISTRICT,Purba Champaran,Rural,3844.25,909672,4698028,2468181,2229847,949639,491036,458603,612980,320861,292119,11875,6148,5727,2038780,1269900,768880,2659248,1198281,1460967,1624563,1165509,459054,1042494,843567,198927,267046,234823,32223,594494,466468,128026,23230,13471,9759,157724,128805,28919,582069,321942,260127,72227,41468,30759,430532,234743,195789,18556,7308,11248,60754,38423,22331,480874,276400,204474,59234,35382,23852,356018,201598,154420,13036,5699,7337,52586,33721,18865,101195,45542,55653,12993,6086,6907,74514,33145,41369,5520,1609,3911,8168,4702,3466,3073465,1302672,1770793
10,204,DISTRICT,Purba Champaran,Urban,123.75,71844,401343,213028,188315,68658,35799,32859,36746,19502,17244,586,306,280,238177,137703,100474,163166,75325,87841,112976,95265,17711,90295,79901,10394,8210,7741,469,20695,17917,2778,3171,2535,636,58219,51708,6511,22681,15364,7317,1549,1080,469,11696,7514,4182,1207,708,499,8229,6062,2167,19586,13398,6188,1438,1015,423,9972,6560,3412,931,529,402,7245,5294,1951,3095,1966,1129,111,65,46,1724,954,770,276,179,97,984,768,216,288367,117763,170604
10,205,DISTRICT,Sheohar,Total,349.00,150144,656246,346673,309573,128698,66728,61970,96655,51089,45566,318,177,141,283698,171645,112053,372548,175028,197520,216372,166693,49679,137804,116164,21640,30496,27133,3363,82108,69809,12299,3475,2190,1285,21725,17032,4693,78568,50529,28039,8231,5869,2362,54226,37283,16943,5644,1433,4211,10467,5944,4523,64471,43860,20611,6909,5077,1832,45373,32324,13049,3396,1206,2190,8793,5253,3540,14097,6669,7428,1322,792,530,8853,4959,3894,2248,227,2021,1674,691,983,439874,179980,259894
10,205,DISTRICT,Sheohar,Rural,339.67,144286,628130,331792,296338,123299,63950,59349,92917,49131,43786,296,167,129,269623,163161,106462,358507,168631,189876,208348,159997,48351,131421,110657,20764,30155,26832,3323,79061,67201,11860,3259,2010,1249,18946,14614,4332,76927,49340,27587,8040,5695,2345,53330,36670,16660,5559,1385,4174,9998,5590,4408,63057,42842,20215,6808,4993,1815,44556,31752,12804,3318,1162,2156,8375,4935,3440,13870,6498,7372,1232,702,530,8774,4918,3856,2241,223,2018,1623,655,968,419782,171795,247987
10,205,DISTRICT,Sheohar,Urban,9.33,5858,28116,14881,13235,5399,2778,2621,3738,1958,1780,22,10,12,14075,8484,5591,14041,6397,7644,8024,6696,1328,6383,5507,876,341,301,40,3047,2608,439,216,180,36,2779,2418,361,1641,1189,452,191,174,17,896,613,283,85,48,37,469,354,115,1414,1018,396,101,84,17,817,572,245,78,44,34,418,318,100,227,171,56,90,90,0,79,41,38,7,4,3,51,36,15,20092,8185,11907
