State,District,Level,Name,TRU,TRU1,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
20,353,DISTRICT,Pakur,Total,1811.00,182317,900422,452661,447761,177623,89935,87688,28469,14352,14117,379054,186967,192087,352881,206989,145892,547541,245672,301869,404584,234012,170572,252017,167872,84145,68549,54103,14446,57797,39644,18153,13965,3178,10787,111706,70947,40759,152567,66140,86427,36785,17060,19725,92231,36982,55249,5506,1473,4033,18045,10625,7420,125536,56186,69350,32103,14997,17106,75082,31263,43819,3826,1068,2758,14525,8858,5667,27031,9954,17077,4682,2063,2619,17149,5719,11430,1680,405,1275,3520,1767,1753,495838,218649,277189
20,354,DISTRICT,Dhanbad,Total,2040.00,507064,2684487,1405956,1278531,373394,194879,178515,437309,226362,210947,233119,117256,115863,1722204,1014950,707254,962283,391006,571277,844504,658851,185653,546714,476848,69866,32963,25780,7183,25466,19163,6303,14488,10748,3740,473797,421157,52640,297790,182003,115787,64155,27545,36610,78022,36516,41506,11401,5619,5782,144212,112323,31889,233276,152953,80323,45699,21933,23766,58160,30511,27649,8963,4665,4298,120454,95844,24610,64514,29050,35464,18456,5612,12844,19862,6005,13857,2438,954,1484,23758,16479,7279,1839983,747105,1092878
20,355,DISTRICT,Bokaro,Total,2883.00,394918,2062330,1072807,989523,293786,152803,140983,299227,154297,144930,255626,129233,126393,1273520,759088,514432,788810,313719,475091,685368,507677,177691,380304,327840,52464,50940,40804,10136,23861,18013,5848,10564,7646,2918,294939,261377,33562,305064,179837,125227,86581,42525,44056,102545,50105,52440,11107,4611,6496,104831,82596,22235,230209,147505,82704,60902,33808,27094,75162,40618,34544,8544,3758,4786,85601,69321,16280,74855,32332,42523,25679,8717,16962,27383,9487,17896,2563,853,1710,19230,13275,5955,1376962,565130,811832
20,356,DISTRICT,Lohardaga,Total,1502.00,88638,461790,232629,229161,77649,39412,38237,15330,7862,7468,262734,130814,131920,259707,149568,110139,202083,83061,119022,221332,121605,99727,103001,71000,32001,52916,36663,16253,21281,11784,9497,2173,1441,732,26631,21112,5519,118331,50605,67726,46864,19734,27130,59559,23907,35652,2276,975,1301,9632,5989,3643,89165,38372,50793,34267,14179,20088,45725,18636,27089,1683,709,974,7490,4848,2642,29166,12233,16933,12597,5555,7042,13834,5271,8563,593,266,327,2142,1141,1001,240458,111024,129434
20,357,DISTRICT,Purbi Singhbhum,Total,3562.00,476931,2293919,1176902,1117017,296626,154229,142397,111414,56147,55267,653923,325989,327934,1507699,856526,651173,786220,320376,465844,837167,616249,220918,529578,445404,84174,49893,41395,8498,39661,26733,12928,12926,9293,3633,427098,367983,59115,307589,170845,136744,62166,39014,23152,170141,81040,89101,8512,3853,4659,66770,46938,19832,247253,143510,103743,49813,32721,17092,135973,68254,67719,6814,3333,3481,54653,39202,15451,60336,27335,33001,12353,6293,6060,34168,12786,21382,1698,520,1178,12117,7736,4381,1456752,560653,896099
20,358,DISTRICT,Palamu,Total,4393.00,358754,1939869,1006302,933567,329728,169543,160185,536382,277119,259263,181208,92577,88631,1024563,621706,402857,915306,384596,530710,713175,473042,240133,283702,225344,58358,68895,55028,13867,95734,69692,26042,7062,5085,1977,112011,95539,16472,429473,247698,181775,64690,36012,28678,285242,158696,126546,12849,5789,7060,66692,47201,19491,326989,196455,130534,49101,28879,20222,218297,125957,92340,8784,4255,4529,50807,37364,13443,102484,51243,51241,15589,7133,8456,66945,32739,34206,4065,1534,2531,15885,9837,6048,1226694,533260,693434
20,359,DISTRICT,Latehar,Total,4291.00,133381,726978,369666,357312,137699,69971,67728,154910,78266,76644,331096,166427,164669,350682,209706,140976,376296,159960,216336,313379,180106,133273,117311,82884,34427,47375,33135,14240,33198,20716,12482,3164,1985,1179,33574,27048,6526,196068,97222,98846,56318,27710,28608,109531,52593,56938,6041,2292,3749,24178,14627,9551,156101,80480,75621,44474,22825,21649,89326,44327,44999,4307,1726,2581,17994,11602,6392,39967,16742,23225,11844,4885,6959,20205,8266,11939,1734,566,1168,6184,3025,3159,413599,189560,224039
20,360,DISTRICT,Hazaribagh,Total,3555.00,304749,1734495,890881,843614,281863,145821,136042,303515,155013,148502,121768,60796,60972,1013249,596113,417136,721246,294768,426478,654636,423472,231164,327316,261999,65317,112671,83221,29450,43404,29331,14073,8106,5827,2279,163135,143620,19515,327320,161473,165847,129789,53922,75867,128981,57632,71349,8044,3772,4272,60506,46147,14359,266740,138929,127811,103377,45462,57915,105250,49669,55581,6067,3079,2988,52046,40719,11327,60580,22544,38036,26412,8460,17952,23731,7963,15768,1977,693,1284,8460,5428,3032,1079859,467409,612450
20,361,DISTRICT,Ramgarh,Total,1341.00,179375,949443,494230,455213,134226,69661,64565,106356,54986,51370,201166,101901,99265,596497,350031,246466,352946,144199,208747,312125,234202,77923,221112,183137,37975,59360,44107,15253,21342,15224,6118,5247,4121,1126,135163,119685,15478,91013,51065,39948,31410,12696,18714,25473,12921,12552,3089,1494,1595,31041,23954,7087,71119,41727,29392,23727,10019,13708,19637,10495,9142,2467,1255,1212,25288,19958,5330,19894,9338,10556,7683,2677,5006,5836,2426,3410,622,239,383,5753,3996,1757,637318,260028,377290
20,362,DISTRICT,Dumka,Total,3761.00,275019,1321442,668514,652928,219449,111641,107808,79614,40802,38812,571077,282125,288952,672409,406275,266134,649033,262239,386794,624779,367108,257671,237479,171817,65662,83224,60983,22241,72157,46876,25281,10346,6717,3629,71752,57241,14511,387300,195291,192009,110178,55521,54657,230927,111850,119077,12760,5346,7414,33435,22574,10861,307913,161687,146226,88449,46502,41947,183836,92994,90842,9418,4153,5265,26210,18038,8172,79387,33604,45783,21729,9019,12710,47091,18856,28235,3342,1193,2149,7225,4536,2689,696663,301406,395257
