06,071,DISTRICT,Yamunanagar,Rural,1676.64,136652,741376,393957,347419,93904,51380,42524,233513,124252,109261,0,0,0,477813,276833,200980,263563,117124,146439,235325,208372,26953,197468,181742,15726,56604,54360,2244,50639,47131,3508,3689,2979,710,86536,77272,9264,37857,26630,11227,2496,1698,798,18542,13828,4714,1287,601,686,15532,10503,5029,30254,21909,8345,1967,1376,591,14616,11341,3275,976,480,496,12695,8712,3983,7603,4721,2882,529,322,207,3926,2487,1439,311,121,190,2837,1791,1046,506051,185585,320466
06,071,DISTRICT,Yamunanagar,Urban,91.36,98771,472829,252761,220068,52885,29013,23872,73230,38948,34282,0,0,0,354644,197960,156684,118185,54801,63384,153908,133971,19937,141556,125302,16254,2252,2159,93,3404,3183,221,6703,5899,804,129197,114061,15136,12352,8669,3683,164,107,57,666,515,151,608,361,247,10914,7686,3228,10442,7211,3231,148,94,54,515,410,105,482,279,203,9297,6428,2869,1910,1458,452,16,13,3,151,105,46,126,82,44,1617,1258,359,318921,118790,200131
06,072,DISTRICT,Kurukshetra,Total,1530.00,188143,964655,510976,453679,116957,64320,52637,215128,113311,101817,0,0,0,646893,370828,276065,317762,140148,177614,336780,268556,68224,285904,244619,41285,64853,61557,3296,61286,49612,11674,5170,4019,1151,154595,129431,25164,50876,23937,26939,4055,1909,2146,24604,10276,14328,1556,588,968,20661,11164,9497,39184,19116,20068,2643,1210,1433,18731,8341,10390,1170,454,716,16640,9111,7529,11692,4821,6871,1412,699,713,5873,1935,3938,386,134,252,4021,2053,1968,627875,242420,385455
06,072,DISTRICT,Kurukshetra,Rural,1455.63,130824,685430,361020,324410,86773,47734,39039,173560,91213,82347,0,0,0,437671,253287,184384,247759,107733,140026,247273,193793,53480,203388,174590,28798,62406,59196,3210,58445,47358,11087,2844,2062,782,79693,65974,13719,43885,19203,24682,3946,1832,2114,23728,9808,13920,1216,395,821,14995,7168,7827,33386,15154,18232,2559,1153,1406,18019,7939,10080,896,296,600,11912,5766,6146,10499,4049,6450,1387,679,708,5709,1869,3840,320,99,221,3083,1402,1681,438157,167227,270930
06,072,DISTRICT,Kurukshetra,Urban,74.37,57319,279225,149956,129269,30184,16586,13598,41568,22098,19470,0,0,0,209222,117541,91681,70003,32415,37588,89507,74763,14744,82516,70029,12487,2447,2361,86,2841,2254,587,2326,1957,369,74902,63457,11445,6991,4734,2257,109,77,32,876,468,408,340,193,147,5666,3996,1670,5798,3962,1836,84,57,27,712,402,310,274,158,116,4728,3345,1383,1193,772,421,25,20,5,164,66,98,66,35,31,938,651,287,189718,75193,114525
06,073,DISTRICT,Kaithal,Total,2317.00,204274,1074304,571003,503301,139393,76258,63135,247513,131486,116027,0,0,0,646529,385782,260747,427775,185221,242554,373899,292696,81203,290663,249905,40758,112486,99206,13280,49233,40607,8626,6935,5218,1717,122009,104874,17135,83236,42791,40445,15530,5138,10392,36418,18255,18163,2515,1164,1351,28773,18234,10539,64697,35689,29008,10602,3827,6775,28501,15619,12882,1798,874,924,23796,15369,8427,18539,7102,11437,4928,1311,3617,7917,2636,5281,717,290,427,4977,2865,2112,700405,278307,422098
06,073,DISTRICT,Kaithal,Rural,2212.70,158019,838293,445931,392362,110499,60425,50074,202878,107815,95063,0,0,0,485223,293066,192157,353070,152865,200205,300886,229859,71027,227767,194531,33236,108007,95115,12892,45021,36887,8134,4419,3081,1338,70320,59448,10872,73119,35328,37791,15150,4882,10268,34852,16988,17864,2085,924,1161,21032,12534,8498,56576,29603,26973,10271,3607,6664,27341,14621,12720,1505,708,797,17459,10667,6792,16543,5725,10818,4879,1275,3604,7511,2367,5144,580,216,364,3573,1867,1706,537407,216072,321335
06,073,DISTRICT,Kaithal,Urban,104.30,46255,236011,125072,110939,28894,15833,13061,44635,23671,20964,0,0,0,161306,92716,68590,74705,32356,42349,73013,62837,10176,62896,55374,7522,4479,4091,388,4212,3720,492,2516,2137,379,51689,45426,6263,10117,7463,2654,380,256,124,1566,1267,299,430,240,190,7741,5700,2041,8121,6086,2035,331,220,111,1160,998,162,293,166,127,6337,4702,1635,1996,1377,619,49,36,13,406,269,137,137,74,63,1404,998,406,162998,62235,100763
06,074,DISTRICT,Karnal,Total,2520.00,292084,1505324,797712,707612,196610,107797,88813,339604,179681,159923,0,0,0,978013,564516,413497,527311,233196,294115,516062,411646,104416,411533,351730,59803,101588,92054,9534,82915,67812,15103,11953,9449,2504,215077,182415,32662,104529,59916,44613,10700,4449,6251,50808,27745,23063,3358,1707,1651,39663,26015,13648,85826,50436,35390,8162,3506,4656,41511,23757,17754,2535,1319,1216,33618,21854,11764,18703,9480,9223,2538,943,1595,9297,3988,5309,823,388,435,6045,4161,1884,989262,386066,603196
06,074,DISTRICT,Karnal,Rural,2451.05,198594,1050514,557110,493404,142691,78011,64680,259520,137535,121985,0,0,0,647883,380886,266997,402631,176224,226407,363114,286267,76847,279139,240379,38760,96984,87822,9162,76343,62493,13850,6258,4721,1537,99554,85343,14211,83975,45888,38087,10124,4064,6060,47579,25538,22041,2434,1187,1247,23838,15099,8739,68957,39005,29952,7638,3157,4481,38939,21886,17053,1830,930,900,20550,13032,7518,15018,6883,8135,2486,907,1579,8640,3652,4988,604,257,347,3288,2067,1221,687400,270843,416557
06,074,DISTRICT,Karnal,Urban,68.95,93490,454810,240602,214208,53919,29786,24133,80084,42146,37938,0,0,0,330130,183630,146500,124680,56972,67708,152948,125379,27569,132394,111351,21043,4604,4232,372,6572,5319,1253,5695,4728,967,115523,97072,18451,20554,14028,6526,576,385,191,3229,2207,1022,924,520,404,15825,10916,4909,16869,11431,5438,524,349,175,2572,1871,701,705,389,316,13068,8822,4246,3685,2597,1088,52,36,16,657,336,321,219,131,88,2757,2094,663,301862,115223,186639
06,075,DISTRICT,Panipat,Total,1268.00,235640,1205437,646857,558580,169662,92380,77282,206213,109695,96518,0,0,0,786599,464136,322463,418838,182721,236117,412318,328667,83651,339016,286740,52276,61474,54150,7324,36191,29179,7012,12485,9889,2596,228866,193522,35344,73302,41927,31375,10646,3588,7058,26167,15227,10940,3339,1339,2000,33150,21773,11377,58836,34321,24515,8298,2807,5491,19349,11658,7691,2579,1092,1487,28610,18764,9846,14466,7606,6860,2348,781,1567,6818,3569,3249,760,247,513,4540,3009,1531,793119,318190,474929
06,075,DISTRICT,Panipat,Rural,1188.65,121876,650352,349642,300710,94584,51786,42798,130212,69446,60766,0,0,0,402944,243714,159230,247408,105928,141480,221931,172607,49324,167683,142608,25075,59215,52143,7072,31518,25306,6212,3782,2628,1154,73168,62531,10637,54248,29999,24249,10327,3403,6924,25119,14490,10629,1965,675,1290,16837,11431,5406,42226,23909,18317,8001,2637,5364,18464,11034,7430,1472,551,921,14289,9687,4602,12022,6090,5932,2326,766,1560,6655,3456,3199,493,124,369,2548,1744,804,428421,177035,251386
06,075,DISTRICT,Panipat,Urban,79.35,113764,555085,297215,257870,75078,40594,34484,76001,40249,35752,0,0,0,383655,220422,163233,171430,76793,94637,190387,156060,34327,171333,144132,27201,2259,2007,252,4673,3873,800,8703,7261,1442,155698,130991,24707,19054,11928,7126,319,185,134,1048,737,311,1374,664,710,16313,10342,5971,16610,10412,6198,297,170,127,885,624,261,1107,541,566,14321,9077,5244,2444,1516,928,22,15,7,163,113,50,267,123,144,1992,1265,727,364698,141155,223543
06,076,DISTRICT,Sonipat,Total,2122.00,277726,1450001,781299,668702,188262,104693,83569,269935,144516,125419,0,0,0,998316,589881,408435,451685,191418,260267,523179,391085,132094,396763,326530,70233,110262,92673,17589,54040,41304,12736,12405,9321,3084,220056,183232,36824,126416,64555,61861,32082,10438,21644,47693,25615,22078,5779,2381,3398,40862,26121,14741,101389,52104,49285,24938,7859,17079,38759,21290,17469,4618,1846,2772,33074,21109,11965,25027,12451,12576,7144,2579,4565,8934,4325,4609,1161,535,626,7788,5012,2776,926822,390214,536608
06,076,DISTRICT,Sonipat,Rural,2039.99,187552,996637,538750,457887,132007,73328,58679,192682,103444,89238,0,0,0,665141,400112,265029,331496,138638,192858,376188,272033,104155,271676,221975,49701,106850,89656,17194,48463,36541,11922,6881,4541,2340,109482,91237,18245,104512,50058,54454,30821,9838,20983,44455,23472,20983,4444,1724,2720,24792,15024,9768,83632,40453,43179,24097,7417,16680,36164,19532,16632,3515,1323,2192,19856,12181,7675,20880,9605,11275,6724,2421,4303,8291,3940,4351,929,401,528,4936,2843,2093,620449,266717,353732
06,076,DISTRICT,Sonipat,Urban,82.01,90174,453364,242549,210815,56255,31365,24890,77253,41072,36181,0,0,0,333175,189769,143406,120189,52780,67409,146991,119052,27939,125087,104555,20532,3412,3017,395,5577,4763,814,5524,4780,744,110574,91995,18579,21904,14497,7407,1261,600,661,3238,2143,1095,1335,657,678,16070,11097,4973,17757,11651,6106,841,442,399,2595,1758,837,1103,523,580,13218,8928,4290,4147,2846,1301,420,158,262,643,385,258,232,134,98,2852,2169,683,306373,123497,182876
06,077,DISTRICT,Jind,Total,2702.00,249736,1334152,713006,621146,168554,91710,76844,282351,150940,131411,0,0,0,832758,502049,330709,501394,210957,290437,523422,368277,155145,385851,313160,72691,172682,136372,36310,56642,43249,13393,6558,5257,1301,149969,128282,21687,137571,55117,82454,57705,14338,43367,45429,20016,25413,2556,1114,1442,31881,19649,12232,107751,43035,64716,42926,8937,33989,36225,16696,19529,1937,836,1101,26663,16566,10097,29820,12082,17738,14779,5401,9378,9204,3320,5884,619,278,341,5218,3083,2135,810730,344729,466001
06,077,DISTRICT,Jind,Rural,2626.74,190875,1028569,550519,478050,131390,71437,59953,228804,122596,106208,0,0,0,617715,377967,239748,410854,172552,238302,430161,289349,140812,306210,243389,62821,167927,132125,35802,52584,39736,12848,3645,2701,944,82054,68827,13227,123951,45960,77991,56764,13954,42810,43082,18384,24698,1917,770,1147,22188,12852,9336,95990,35125,60865,42067,8582,33485,34238,15288,18950,1419,552,867,18266,10703,7563,27961,10835,17126,14697,5372,9325,8844,3096,5748,498,218,280,3922,2149,1773,598408,261170,337238
06,077,DISTRICT,Jind,Urban,75.26,58861,305583,162487,143096,37164,20273,16891,53547,28344,25203,0,0,0,215043,124082,90961,90540,38405,52135,93261,78928,14333,79641,69771,9870,4755,4247,508,4058,3513,545,2913,2556,357,67915,59455,8460,13620,9157,4463,941,384,557,2347,1632,715,639,344,295,9693,6797,2896,11761,7910,3851,859,355,504,1987,1408,579,518,284,234,8397,5863,2534,1859,1247,612,82,29,53,360,224,136,121,60,61,1296,934,362,212322,83559,128763
06,078,DISTRICT,Fatehabad,Total,2538.00,180637,942011,495360,446651,121024,65279,55745,284357,149111,135246,0,0,0,557578,327471,230107,384433,167889,216544,369083,263498,105585,286258,231189,55069,108884,86577,22307,61057,48223,12834,4621,3587,1034,111696,92802,18894,82825,32309,50516,23366,5481,17885,36940,14871,22069,1937,646,1291,20582,11311,9271,63909,25929,37980,16569,3319,13250,28799,12569,16230,1439,507,932,17102,9534,7568,18916,6380,12536,6797,2162,4635,8141,2302,5839,498,139,359,3480,1777,1703,572928,231862,341066
06,078,DISTRICT,Fatehabad,Rural,2503.26,145137,762423,400814,361609,99259,53426,45833,239215,125461,113754,0,0,0,434531,258814,175717,327892,142000,185892,312610,215010,97600,236013,186999,49014,106847,84640,22207,58624,46067,12557,3028,2207,821,67514,54085,13429,76597,28011,48586,23234,5422,17812,36123,14388,21735,1705,523,1182,15535,7678,7857,58687,22279,36408,16445,3264,13181,28167,12150,16017,1249,399,850,12826,6466,6360,17910,5732,12178,6789,2158,4631,7956,2238,5718,456,124,332,2709,1212,1497,449813,185804,264009
06,078,DISTRICT,Fatehabad,Urban,34.74,35500,179588,94546,85042,21765,11853,9912,45142,23650,21492,0,0,0,123047,68657,54390,56541,25889,30652,56473,48488,7985,50245,44190,6055,2037,1937,100,2433,2156,277,1593,1380,213,44182,38717,5465,6228,4298,1930,132,59,73,817,483,334,232,123,109,5047,3633,1414,5222,3650,1572,124,55,69,632,419,213,190,108,82,4276,3068,1208,1006,648,358,8,4,4,185,64,121,42,15,27,771,565,206,123115,46058,77057
06,079,DISTRICT,Sirsa,Total,4277.00,246571,1295189,682582,612607,157667,84684,72983,387381,202430,184951,0,0,0,782897,456968,325929,512292,225614,286678,502003,369462,132541,399169,330680,68489,137976,117605,20371,99117,79827,19290,9422,6961,2461,152654,126287,26367,102834,38782,64052,26321,5866,20455,47925,17988,29937,2530,961,1569,26058,13967,12091,81900,32154,49746,19095,4058,15037,39175,15552,23623,2022,809,1213,21608,11735,9873,20934,6628,14306,7226,1808,5418,8750,2436,6314,508,152,356,4450,2232,2218,793186,313120,480066
06,079,DISTRICT,Sirsa,Rural,4218.02,183495,975941,514177,461764,120421,64422,55999,312059,163211,148848,0,0,0,559635,331990,227645,416306,182187,234119,396743,280447,116296,306128,249805,56323,134986,114858,20128,94458,75830,18628,5523,3606,1917,71161,55511,15650,90615,30642,59973,26052,5717,20335,46270,17131,29139,1835,657,1178,16458,7137,9321,71858,25393,46465,18842,3919,14923,37940,14890,23050,1508,553,955,13568,6031,7537,18757,5249,13508,7210,1798,5412,8330,2241,6089,327,104,223,2890,1106,1784,579198,233730,345468
06,079,DISTRICT,Sirsa,Urban,58.98,63076,319248,168405,150843,37246,20262,16984,75322,39219,36103,0,0,0,223262,124978,98284,95986,43427,52559,105260,89015,16245,93041,80875,12166,2990,2747,243,4659,3997,662,3899,3355,544,81493,70776,10717,12219,8140,4079,269,149,120,1655,857,798,695,304,391,9600,6830,2770,10042,6761,3281,253,139,114,1235,662,573,514,256,258,8040,5704,2336,2177,1379,798,16,10,6,420,195,225,181,48,133,1560,1126,434,213988,79390,134598
06,080,DISTRICT,Hisar,Total,3983.00,335608,1743931,931562,812369,215167,116229,98938,408785,217338,191447,0,0,0,1114311,670200,444111,629620,261362,368258,691621,488321,203300,531227,420510,110717,206179,153428,52751,86056,64063,21993,12753,10168,2585,226239,192851,33388,160394,67811,92583,54941,12357,42584,58157,25820,32337,3344,1619,1725,43952,28015,15937,126288,52521,73767,42037,8162,33875,46800,21496,25304,2783,1359,1424,34668,21504,13164,34106,15290,18816,12904,4195,8709,11357,4324,7033,561,260,301,9284,6511,2773,1052310,443241,609069
06,080,DISTRICT,Hisar,Rural,3835.53,225651,1190443,634139,556304,150650,81222,69428,302577,161528,141049,0,0,0,714796,439026,275770,475647,195113,280534,507084,336064,171020,373906,286943,86963,198981,147436,51545,78160,57727,20433,6247,4596,1651,90518,77184,13334,133178,49121,84057,53802,11912,41890,53669,22978,30691,2462,1104,1358,23245,13127,10118,104990,38236,66754,41023,7767,33256,42905,18994,23911,2064,931,1133,18998,10544,8454,28188,10885,17303,12779,4145,8634,10764,3984,6780,398,173,225,4247,2583,1664,683359,298075,385284
